firstname,lastname,team,trueShooting,usage,assist,rebound,defensive,blocks
Brooks,Soneson,Nigeria,3.78,12.11,63.01,27.44,49.92,27.55
Marline,Podvin,Ireland,56.29,79.77,18.4,61.15,81.95,31.58
Corene,Lynn,Guinea,27.71,5.79,14.08,85.29,28.78,81.67
Kassey,Yerkovich,Ukraine,50.4,58.78,21.11,58.24,42.47,88.87
Wendi,Audly,Aruba,48.06,51.16,93.84,9.92,79.15,77.2
Gilda,Koehler,Western Sahara,84.96,53.43,47.85,74.72,83.88,20.53
Louella,Leffen,Senegal,78.89,71.04,15.77,91.22,14.72,34.9
Joceline,Gemini,Belgium,33.19,45.23,63.6,96.66,6.88,66.98
Elvira,Gilmour,Germany,89.54,79,6.24,88.89,74.34,48.89
Barbara,Zina,Germany,36.11,16.48,53.75,87.25,48.35,35.3
Elka,Cherianne,Northern Mariana Islands,11.04,91.2,52.47,87.1,13.83,21.41
Tani,Lalitta,Swaziland,84.84,88.66,50.29,26.33,7.07,100.37
Carol-Jean,Remmer,Algeria,6.86,53.61,50.15,47.4,59.16,96.45
Marti,Ietta,Cayman Islands,13.01,29.94,49.21,83.13,46.16,35.4
Shaylyn,Pillsbury,Turkmenistan,24.25,66.44,31.54,59,57.66,18.78
Leontine,Lalitta,Djibouti,39.1,86.08,49.06,14.24,82.79,84.4
Kathi,Raychel,Denmark,76.95,82.17,74.7,59.95,7.71,30.37
Heddie,Rozanna,China,66.15,25.1,72.05,76.19,31.21,93.12
Lilith,Bonucci,Wallis and Futuna,52.6,49.11,51.12,54.42,55.27,21.99
Dulcinea,Sikorski,Jamaica,91.72,91.14,94.43,25.91,100.39,17.77
Riannon,Radu,Somalia,44.34,18.66,43.97,40.84,81.03,6.86
Sophia,Tybald,United Arab Emirates,8.18,48.29,82.6,54.42,46.33,2.44
Paola,Persse,Kyrgyzstan,84.58,34.9,99.11,11.71,76.5,35.65
Pierette,Hanshaw,Greece,76.83,45.89,72.07,18.96,61.1,86.41
Shandie,Kamaria,Liberia,1.84,41.94,65.59,59.92,90.71,17.07
Lizzie,Mandler,Kazakhstan,69.87,91.45,84.06,95.64,40.15,14
Willetta,Sholley,Viet Nam,49.91,2.97,28.6,7.41,67,92.05
Raf,Merna,Singapore,10.71,100.33,87.05,64.79,51.4,30.87
Donnie,Pillsbury,Hungary,70.9,63.84,5.35,35.11,46.7,4.05
Nikki,Croix,Italy,9.9,32.07,70.19,26.37,64.88,84.21
Noelle,Mathilde,Slovenia,21.63,76.43,77.68,65.19,55.3,46.68
Grier,Seagraves,United States Minor Outlying Islands,87.26,7.02,4,18.45,82.58,31.8
Fredericka,Simmonds,Romania,39.53,16.92,70.11,27.77,34.6,40.95
Livvyy,Chaing,Brunei Darussalam,44.42,11.81,47.68,34.4,10.5,30.79
Valeda,Revkah,Kuwait,4.12,74.77,9.35,14.21,62.75,82.58
Ronna,Auberbach,Libyan Arab Jamahiriya,78.21,25.85,85.98,34.84,94.4,76.03
Marika,Ledah,Mali,43.95,58.67,91.85,40.7,72.62,85.43
Madalyn,Tannie,Russian Federation,1.6,18.63,99.32,28.66,67.08,25.05
Ashlee,Docilla,Timor-Leste,25.83,39.25,93.21,52.21,24.34,55.08
Fayre,Alva,Germany,51.71,34.2,6.85,37.86,20.71,38.95
Tomasina,Raseda,Mozambique,73.85,74.93,90.24,13.34,13.02,56.56
Tersina,Sherrie,Burkina Faso,25.46,53.52,74.92,99.68,80.38,58.99
Georgetta,Kevon,Macao,79.31,55.92,17.71,1.29,87.05,51.58
Natka,Loeb,Ecuador,74.93,69.66,42.53,69.28,21.16,51.46
Chandra,Monaco,Puerto Rico,78.85,38.84,12.38,33.47,6.96,25.29
Genevra,Chrystel,Albania,21.24,89.26,92.96,76.73,45.43,75.73
Daune,Hailee,Slovenia,78.12,33.03,7.08,79.08,91.28,1
Lynde,Macey,Burundi,80.16,98.48,98.65,53.74,73.32,1.52
Minne,Lasley,Malaysia,47.6,76.38,67.04,55.96,5.67,50.34
Celisse,Linehan,United Kingdom,7.79,59.78,55.85,95.77,95.97,5.06
Cathyleen,Sallyann,Estonia,41.95,62.02,58.84,36.8,44.77,29.72
Tiffie,Montgomery,Holy See (Vatican City State),54.1,66.79,44.85,48.8,40.7,41.6
Roz,Aprile,Equatorial Guinea,50.45,1.71,75.27,18.88,58.2,53.65
Fayre,Shama,Central African Republic,41.21,96.66,80.44,33.61,37.45,19.31
Phedra,Suzetta,India,12.56,95.08,60.96,15.26,68.82,30.07
Livvyy,Ilka,Heard Island and Mcdonald Islands,19.32,28.74,42.32,20.04,56.89,61.21
Blinni,Si,Saint Helena,6.32,76.83,62.63,91.93,82.52,68.02
Danika,Amethist,Equatorial Guinea,62.19,45.63,70.24,37.31,67.78,44.54
Sissy,Truc,Panama,84.28,50.62,8.86,66.59,48.93,81.59
Marika,Ailyn,Azerbaijan,31.28,64.49,34.32,40.37,63.75,9.94
Damaris,Nicoline,Colombia,69.84,88.71,79.49,70.25,28.49,53.14
Rosabelle,Kunin,French Southern Territories,34.5,82.75,15.92,36.24,75.18,9.98
Cissiee,Swigart,Libyan Arab Jamahiriya,77.62,18.09,12.13,60.52,38.95,2.48
Kaia,Arne,"Korea, Democratic People""S Republic of",21.68,58.36,12.66,71.89,80.47,9.12
Marika,Arne,Mauritania,26.81,98.37,96.16,2.72,1.24,41.34
Louella,Adore,Morocco,5.81,85.81,10.24,2.43,6.81,38.65
Darci,Edvard,Marshall Islands,71.88,24.19,54.6,45.51,52.94,30.8
