firstname,lastname,team,trueShooting,usage,assist,rebound,defensive,blocks
Sharai,Mich,Liechtenstein,82.02,3.54,58.41,56.22,23.49,40.74
Gui,Schenck,Solomon Islands,57.86,63.87,52.17,17.37,35.93,69.61
Libbie,Hebner,Greece,73.46,19.95,41.48,20.85,25.43,27.59
Iseabal,Drus,Guinea,75.98,9.4,74.48,96.76,71.82,81.89
Maryellen,Anderea,Croatia,11.92,31.2,81.15,20.28,71.33,36.31
Rubie,Linskey,Israel,48.71,54.54,60.9,89.63,59.41,80.7
Danny,Janith,Greece,70.44,26.6,80.34,92.06,19.91,99.35
Kirstin,Bendick,Morocco,12.66,67.05,98.78,7.61,8.4,33.09
Aubrie,Faro,Benin,19.92,16.28,99.92,74.3,72.37,83.98
Claresta,Amasa,Yemen,24.92,62.31,60.1,3.91,6.06,63.43
Shaylyn,Llovera,Namibia,83.34,71.07,23.82,78.96,46.23,74.08
Corina,Chick,Sao Tome and Principe,69.23,22.25,69.81,70.5,62.89,16.65
Brianna,Greyson,Papua New Guinea,18.61,94.81,65.12,62.9,14.43,44.13
Emylee,Nelsen,Saint Lucia,100.52,41.77,89.91,3.36,4.86,44.34
Kittie,Center,Liberia,60.93,45.59,58.15,28.72,19.93,68.67
Dione,Morgun,Guatemala,14.48,17.56,70.98,21.14,34.73,59.76
Corry,Markman,Senegal,33.23,40.55,85.92,8.82,37.19,83.08
Dania,Bouchard,Guatemala,74.37,46.64,57.89,76.63,48.15,88.69
Marcelline,Bow,Portugal,72.12,48.71,46.98,17.66,92.7,59.79
Clarice,Peonir,Faroe Islands,38.02,84.1,86.9,71.14,87.28,95.29
Deedee,Fiester,Malawi,28.47,21.84,11.43,57.99,24.68,99.64
Hayley,Deny,Niue,37.66,50.87,28.19,33.96,86.11,93.35
Vonny,Carvey,China,40.96,61.27,2.87,99.13,70.88,11.26
Wynne,Alrich,"Cote D""Ivoire",53.66,4.12,42.84,1.47,41.09,33.09
Lilith,Sadowski,Montserrat,29.69,94.8,56.89,51.26,11.08,29.53
Maurene,Holbrook,"Taiwan, Province of China",70.29,82.59,86.1,5.06,71.01,67.39
Perry,Podvin,Lithuania,56.47,57.48,64.09,59.94,60.78,94.07
Andeee,Quinn,Serbia and Montenegro,78.49,70.38,50.74,38.95,99.98,6.21
Sibella,Sperling,Western Sahara,87.75,55.62,100.61,59.88,99.38,27.46
Dania,Blake,Canada,9.07,45.67,25.91,83.95,20.85,23.57
Betta,Autrey,Niue,41.29,80.91,88.15,90.77,11.39,73.25
Eolanda,Pandolfi,Macao,30.34,4.83,18.3,46.2,32.32,98.68
Cindelyn,Sophronia,Guyana,90.89,3.15,68.38,60.15,19.26,31.94
Eolanda,Garrison,Hong Kong,79.43,9.71,30.69,96.67,44.84,34.62
Marjie,Sadowski,Hungary,81.04,70.44,94.16,79.49,17.29,80.54
Annora,Lowry,Slovenia,5.35,76.67,64.46,79.69,46.9,98.36
Annecorinne,Trace,Monaco,63.77,37.59,8.39,82.93,6.64,39.44
Louella,Sprage,Bahrain,57.11,22.02,56.49,26.55,68.46,97.55
Claresta,Martsen,Georgia,70.69,26.62,24.16,57.84,65.37,62.32
Berta,Zaslow,Turkey,45.21,59.37,95.72,92.31,53.04,24.14
Althea,Afton,Bolivia,77.21,21.15,53.07,15.53,27.89,13.37
Esmeralda,Matthew,Russian Federation,63.81,75.43,67.88,36.4,74.81,93.02
Betta,Jotham,Saint Helena,21.74,90.7,45.14,29.74,17.99,36.7
Benita,Simmonds,Puerto Rico,38.21,20.51,1.57,27.19,45.89,63.92
Lita,Tufts,Switzerland,66.98,98.85,85.85,29.28,35.85,83.47
Lynnea,Pearse,Palau,75.73,87.44,32.92,63.6,24.82,36.93
Korrie,Serilda,Finland,53.41,24.58,89.18,35.16,39.8,62.31
Caritta,Wandie,Guatemala,6.16,98.16,95.86,6.13,8.42,45.37
Jorry,Nerita,Guyana,41.17,63.3,65.33,16.6,5.68,85.5
Valeda,Lynn,Niger,44.29,36.41,46.64,67.32,71.61,43.84
Nyssa,Maxi,Martinique,84.92,44.42,9.71,69.43,87.27,34.45
Edith,Sherfield,Qatar,27.04,43.42,92.57,48.32,3.76,87.06
Gaylene,Hathaway,British Indian Ocean Territory,29.34,84.25,88.35,5.4,1.97,15.26
Deedee,Moseley,Russian Federation,57.77,79.44,44.63,5.99,89.03,75.26
Fredericka,Warthman,Ireland,4.33,15.1,74.96,100.25,62.5,13.98
Donetta,Jethro,Gabon,28.14,88.33,68.14,94.77,59.04,87.14
Orelia,Millda,Venezuela,81.07,45.66,43.82,48.27,59.33,3.05
Chandra,Candy,Tokelau,65.11,77.43,5.8,52.34,96.52,27.89
Cissiee,Rugen,AndorrA,82.31,26.28,46.8,12.51,93.89,92.37
Babita,Gabrielli,Aruba,96.47,68.8,27.37,59.98,96.16,5.44
Delilah,Mayeda,Kazakhstan,4.42,41.11,57.78,91.75,27.98,7.91
Odessa,Denis,Mali,82.11,8.07,90.7,87.69,47.72,87.52
Merry,Erich,Bouvet Island,97.18,46.1,23.86,12.24,93.58,16.14
Rozele,Christal,Greece,31.26,10.78,24.1,59.37,56.32,3.61
Viki,Hamil,Chile,14.08,96.33,10.62,82.08,63.22,59.1
Verla,Strephon,Nicaragua,78.93,72.53,37.06,64.09,58.21,64.78
Dianemarie,Redmond,South Africa,93.53,93.1,5.88,99.76,68.43,4.66
Valeda,Darrell,United States,59.88,23.79,76.24,59.9,45.72,7.88
Aeriela,Velick,Tonga,7.86,91.47,17.67,50.46,3.34,42.46
Rori,Hartnett,Somalia,46.16,60.28,84.14,96.52,85.06,72.96
Frieda,Dorothy,Burundi,23.98,29.95,17.53,11.22,42.46,61.77
Vere,Dorcy,Saint Vincent and the Grenadines,20,1.27,63.65,64.2,80.64,98.42
Minne,Nicoline,Maldives,8.33,97.13,12.2,11.2,12.9,6.14
Janey,Xerxes,El Salvador,99.95,14.64,17.37,14.29,97.57,43.88
Carlie,Jacqui,Cook Islands,4.53,87.9,44.15,18.47,61.52,67.97
Daphne,Boycey,Marshall Islands,87.18,39.18,44.76,62.51,38.01,3.8
Laurene,Truc,Cocos (Keeling) Islands,61.42,42.41,69.5,16.03,17.72,35.63
Caritta,Longfellow,Maldives,39.31,3.51,91.63,82.34,93.88,42.07
Arabel,Hessler,Barbados,76.66,99.96,98.77,65.11,85.29,35.82
Max,Meter,Venezuela,11.34,94.07,45.24,66.58,18.17,17.63
Shannah,Tomasina,Saudi Arabia,1.34,88.99,7.39,34.32,69.58,13.4
Leeanne,Hubert,China,49.15,78.69,78.44,4.11,31.66,23.6
Vita,Payson,Zambia,62.59,35.32,12.03,92.16,72.5,44.54
Meg,Kevon,Ethiopia,84.96,42.42,8.67,78.59,7.59,83.35
Carolina,Lymann,"Taiwan, Province of China",75.19,20.08,73.94,57.33,80.54,62.21
Leona,Astra,Burundi,5.72,37.48,31.97,57.36,12.11,98.54
Tina,Ranjiv,Mexico,15.49,6.8,54.28,43.93,15.99,47.8
Phylis,Vernier,Djibouti,66.29,100.76,2.65,39.66,85.85,78.55
Leanna,Katrine,El Salvador,60.11,46.27,82.56,96.61,62.76,77.12
Carmela,Mendez,French Polynesia,3.22,74.25,17.99,30.55,51.41,71.93
Ariela,Sibyls,Central African Republic,53.22,79.02,62.13,71.6,46.24,97.95
Helena,Stover,Liechtenstein,12.62,43.93,53.4,86.3,31.45,25.85
Georgina,Xerxes,Niue,29.3,85.85,69.75,35.05,69.14,77.84
Feliza,Desai,Indonesia,29.54,74.66,72.76,30.5,38.62,49.19
Arlina,Joni,Algeria,76.07,4.71,54.1,43.58,41.66,47.15
Brietta,Brotherson,New Zealand,91.99,60.48,40.7,30.2,14.28,15.98
Sam,Hieronymus,Libyan Arab Jamahiriya,58.34,59.3,80.08,82.26,87.17,27.44
Starla,McGrody,Jordan,3.66,82.12,34.67,49.57,57.82,78.35
Doralynne,Philoo,Comoros,82.95,61.7,92.43,1.68,33.67,52.8
Vevay,Raseda,Tajikistan,85.97,62.23,26.91,6.39,64.78,69.18
Nerta,Ioab,Guernsey,37.54,30.87,96.46,41.58,95.63,4.65
Silvana,Wolfgram,Singapore,65.68,65.66,52.29,41.92,93.78,71.73
Micheline,Beebe,Reunion,83.93,6.8,38.53,4.02,33.54,60.59
Chickie,Damarra,"Virgin Islands, U.S.",44.99,65.73,72.73,33.11,4.02,66.3
Mary,Breed,"Palestinian Territory, Occupied",3.98,14.53,53.27,76.9,30.13,100.81
Sheree,Xerxes,Ecuador,20.28,69.25,66.64,74.52,32.69,40.81
Lynde,Juan,Maldives,73.11,25.83,20.65,75.46,22.75,3.59
Deloria,Lattie,Serbia and Montenegro,24.64,90.72,69.68,20.29,95.69,75.55
Chandra,Anyah,Gibraltar,74.35,49.78,16.68,5.68,7.45,46
Kirbee,Tound,Georgia,1.19,16.36,18.33,29.32,85.23,27.83
Flo,Knowling,Grenada,3.61,99.4,52.52,51.24,94.52,1.3
Daryl,Douglass,Austria,72.78,6.84,31.01,82.44,7.51,36.06
Jessamyn,Weide,Morocco,82,46.62,67.3,13.22,15.31,34.9
Clarice,Azeria,Fiji,5.17,93.41,21.84,8.43,36.78,38.26
Shaine,Quent,Gambia,28.47,73.69,7.56,14.18,80.68,82.21
Melisent,Ivens,Svalbard and Jan Mayen,87.18,82.09,82.77,90.89,82.72,83.74
Emmey,Evvie,New Zealand,23.76,89.18,51.93,1.15,75.38,31.37
Atlanta,Shirberg,Afghanistan,82.44,80.46,93.93,17.3,42.83,6.62
Noelle,Demitria,Chad,99.7,33.99,25.27,94.64,48.47,6.68
Nadine,Gwenore,Monaco,40.81,78.07,19.37,40.25,87.75,54.05
Candy,Norrie,Hong Kong,92.84,67.71,97.56,58.98,2.18,29
Valli,Niles,Kenya,17.75,20.77,100.57,75.34,29.84,77.56
Rosene,Gaspard,El Salvador,4.32,47.28,53.87,6.04,51.19,69.96
Aurore,McNully,Costa Rica,90.46,47.59,68.79,17.1,61.44,38.27
Maye,Imelida,Uzbekistan,59.01,59.78,66.06,10.87,77.28,75.1
Jasmina,Darrell,Poland,79.95,73.6,19.73,59.62,10.67,87.06
Mariele,Naor,Canada,28.19,30.3,12.73,50.72,33.14,38.53
Marylou,Rogerio,New Caledonia,36.95,52.22,66.79,61.08,33.37,83.78
Wilma,Robertson,Brazil,43.32,4.03,98.38,82.9,44.3,67.53
Alameda,Cordi,"Tanzania, United Republic of",52.84,95.42,56.62,33.1,8.49,29.49
Sabina,Obed,Australia,69.15,4.48,24.11,82.97,81.99,49.89
Damaris,Dawkins,Botswana,77.63,61.68,69.65,46.65,21.15,53.22
Sheree,Grosz,Liechtenstein,31.55,88.59,29.4,50.3,72.96,66.04
Flory,Toffic,Slovakia,63,35.67,94.84,53.71,44.94,43.92
Deane,Stefa,British Indian Ocean Territory,89.82,16.06,35.78,6.53,73.29,26.73
Esmeralda,Behre,Bangladesh,38.13,66.47,54.63,73.48,86.54,68.91
Amara,Eckblad,Nigeria,44,99.37,21.06,76.81,28.05,58.19
Jinny,Fancie,French Southern Territories,31.59,56.86,7.7,13.42,23.29,24.05
Winny,Toni,Poland,31.47,23.1,22.27,53.94,63.69,28.25
Frances,Bennie,Cocos (Keeling) Islands,16.25,84.88,78.72,6.11,13.31,61
Dyann,Connelly,Burundi,39.79,16.6,49.58,56.12,10.1,18.57
Monika,Roxanna,Austria,74.21,58.46,21.16,45.1,63.26,80.1
Nikki,Marsden,Togo,72.73,72.73,72.58,53.2,11.87,42.93
Cherrita,Killigrew,American Samoa,27.41,98.03,53.48,26.39,39.17,47.96
Gale,Jaylene,Ireland,14.57,94.66,66.91,61.49,87.35,62.32
Camile,Lay,Oman,25.56,72.73,94.29,37.6,7.7,43.14
Sharlene,Ingra,United States,86.94,54.42,63.39,64.77,4.05,85.38
Dorice,Yuille,Hong Kong,76.31,64.47,91.54,50.22,67.13,63.2
Caritta,Stuart,"Korea, Republic of",90.27,43.28,56.7,85.75,9.55,71.24
Sashenka,My,Ghana,82.55,78.48,94.53,86.45,63.11,100.69
Kittie,Cynar,Maldives,84.22,74.11,28.25,10,32.95,12.02
Jean,Nahum,Netherlands,70.81,8.09,48.96,75.02,16.66,61.8
Lita,Sekofski,Lithuania,4.41,65.95,98.59,86.42,10.16,92.64
Lonnie,Shaddock,Philippines,24.43,45.68,96.42,64.44,37.73,13.68
Oralee,Turne,Guam,36.76,98.84,2.16,25.97,94.65,15.06
Sherrie,Jess,Yemen,35.31,32.38,89.86,1.76,68.85,96.23
Alie,Stilwell,Tokelau,53.89,98.36,10.83,10.67,99.35,56.76
Jeanna,Bandeen,Uruguay,93.31,6.63,1.59,90.94,29.72,69.4
Alie,Denis,RWANDA,51.48,78.88,43.71,31.36,76.2,47.26
Kirbee,Thomasina,Georgia,26.41,67.34,3.82,44.81,70.37,85.3
Melina,Gemini,"Micronesia, Federated States of",92.5,51.31,3.61,74.8,75.83,87.44
Nonnah,Gregrory,Croatia,15.49,82.02,93.21,11.54,56.83,58.88
Jordan,Hailee,Grenada,65.79,66.67,52.2,54.91,26.82,3.72
Verla,Miru,Antigua and Barbuda,93,99.75,85.05,92.18,56.05,45.07
Michaelina,Sandye,Togo,62.54,57.57,79.73,4.25,88.12,7.12
Linzy,Wilona,Burkina Faso,47.91,67.99,25.88,43.09,18,29.44
Dyann,Ade,Guam,17.03,25.15,92.99,2.88,49.62,96.21
Janenna,Telfer,France,26.65,95.28,11.67,48.22,84.78,81.69
Edyth,Tayib,Palau,29.41,85.03,3.74,2.83,99.41,73.34
Heida,Maxi,South Africa,47.91,53.68,71.02,39.05,58.73,38.61
Mara,Francene,Venezuela,37.17,12.95,28.9,93.06,52.13,33.06
Genevra,Lunsford,Bolivia,53,75.35,22.5,49.25,49.34,31.35
Nita,Holtz,"Congo, The Democratic Republic of the",40.54,91.61,77.83,87.66,46.34,99.41
Margette,Jillane,French Southern Territories,86.97,80.32,45.2,83.98,74.86,94.57
Mellicent,Hepsibah,Northern Mariana Islands,100.97,27.13,70.35,84.02,7.08,18.3
Orsola,Wilona,Antigua and Barbuda,60.73,91.38,4.97,35.98,98.54,49.14
Maryellen,Darrell,Albania,51.32,69.47,63.6,63.1,6.19,19.86
Valli,Hanshaw,Kazakhstan,78.53,64.14,36,44.97,40.89,95.29
Nataline,Bevin,Myanmar,39.48,16.74,34.11,46.29,44.12,8.6
Yvonne,Lanita,Bahamas,45.41,61.42,23.56,74.2,32.15,18.75
Darlleen,Rozanna,Congo,18.24,68.12,47.63,89.73,56.8,61.41
Marti,Rolf,Ghana,64.47,57.24,77.43,98.26,38.71,52.08
Kittie,Brandice,Qatar,53.08,4.4,10.73,4.91,79.28,63.51
Nickie,Decato,Ireland,21.47,70.11,43.25,95.31,23.29,24.8
Lucille,Elsinore,Sri Lanka,23.38,6.74,10.27,97.11,78.57,49.04
Kenna,Lasley,Togo,56.41,69.41,89.98,18.78,13.4,36.67
Farrah,Nance,Georgia,23.3,91.58,91.33,3.15,53.25,88.62
Raf,Gilbertson,Macao,13.82,56.15,20.08,43.8,1.85,40.86
Sissy,Tiffa,Bangladesh,71.68,27.91,13.91,87.96,28.98,85.53
Neila,Jeanne,New Caledonia,87.07,95.93,87.84,54.59,57.97,33.25
Valli,Persse,AndorrA,94.01,31.77,78.53,43.38,96.28,96.45
Orelia,Medrek,Åland Islands,8.58,93.25,71.79,12.07,5.56,71.22
Chrystel,Niccolo,"Virgin Islands, British",20.78,98.1,74.04,37.76,16.54,58.32
Nannie,Angelis,Bahamas,56.38,69.74,59.35,91.47,3.9,89.49
Violet,Francyne,Slovenia,54.26,37.3,83.98,2.04,52.71,68.73
Kassey,Uund,Mexico,100.69,3.96,78.02,24.14,90.54,13.78
Kelly,Gower,Pitcairn,54.61,15.41,14.14,17,72.39,31.3
Krystle,Amand,Grenada,6.74,91.2,60.82,26.63,94.56,18.41
Etta,Toor,Bulgaria,98.78,89.37,74.1,74.34,41.21,89.16
Sabina,Honoria,Nepal,85.18,27.5,78.49,29.12,1.8,33.92
Frieda,Stover,Isle of Man,10.16,15.73,29.84,32.23,94.3,60.88
Gavrielle,Gamaliel,Chile,7.56,13.12,19.02,9.99,51.06,56.86
Viki,Sabella,Uganda,23.08,81.37,65.12,68.27,60.8,25.01
Demetris,Parette,Guernsey,99.26,38.65,74,36.73,86.65,40.08
Arlena,Linskey,Senegal,94.41,17.95,64,53.51,82.28,45.28
Krystle,Candy,New Zealand,74.4,80.97,81.92,48.72,6.44,1.25
Tressa,Isidore,"Taiwan, Province of China",61.83,34.26,25.5,7.71,40,23.15
Belva,Vanni,Viet Nam,7.79,67.98,50.98,75.9,16.46,17.15
Jsandye,Seessel,Angola,28.69,3.55,41.08,3.6,5.22,38.33
Sindee,Therine,Netherlands,84.17,44.17,47.59,24.2,33.88,40.46
Trudie,Lail,Cameroon,45.32,25.72,39.81,40.62,56.07,94.74
Leeanne,Muriel,Finland,87.95,3.85,5.05,38.9,24.85,51.13
Ada,Bultman,United States Minor Outlying Islands,45.7,76.31,10.34,35.96,73.38,80.73
Kaja,Faro,Cayman Islands,40.74,45.81,30.85,85.29,92.54,75.79
Asia,Gino,Swaziland,24.29,60.5,87.13,31.08,52.07,70.48
Ira,Camden,Bulgaria,36.33,19.89,98.41,98.44,2.57,99.78
Cacilie,Willie,Yemen,27.88,11.94,77.91,30.27,82.09,42.44
Georgetta,Urania,"Tanzania, United Republic of",9.88,79.66,77.92,42.82,92.68,3.2
Merrie,Lissi,Chile,6.56,100.15,30.79,35.93,82.72,27.93
Jenda,Doig,Christmas Island,43.76,10.31,94.41,25.11,34.08,83.82
